modes,fr,al,sigma
TE\st{011},10039781631.211,19.0556261164045,10360662.4400357
TE\st{012},11298116324.7021,19.0656744452858,9435231.25944443
TE\st{013},13130450711.1067,19.0800124944945,10132898.7703358
TE\st{015},17761974604.6582,19.1594068905003,15602497.4790511
TE\st{021},17796756536.7132,19.0607688045489,9566305.5181891
TE\st{022},18539867525.9034,19.0550560992787,8156981.5543054
TE\st{023},19710512418.7658,19.0579595269852,8981048.74527981
